Ferrari 488 GT3 Evo 2020,iracing,baseline.sto,dry
Speed (KPH),-10,-12,-14,-16,-18,-20,-22,-24,-26,-28,-30,-32,-34,-36,-38,-40,-42,-44,-46,-48,-50,-52,-54,-56,-59,-63,-68,-74,-81,-89,-98,-108,-119,-131,-144,-158,-173,10,13,17,21,25,29,33,37,41,45,49,53,58,64,71,79,88,98,109,121,134,148,163,179
21,1.209380,1.450601,1.692599,1.935160,2.179279,2.419606,2.658565,2.902894,3.142895,3.383638,3.622840,3.898480,4.168639,4.441683,4.708422,4.988975,5.259609,5.528346,5.799054,6.069863,6.352065,6.622555,6.895531,7.162622,7.583092,8.119358,8.810908,9.623150,10.588739,11.687550,12.921805,14.297275,15.812804,17.462301,19.242380,21.155527,23.223700,-1.214704,-1.577596,-2.058102,-2.545574,-3.026314,-3.508426,-4.039337,-4.589286,-5.127471,-5.677927,-6.216263,-6.771215,-7.445124,-8.273299,-9.229152,-10.315885,-11.547781,-12.916243,-14.441555,-16.069300,-17.868931,-19.805695,-21.853579,-24.070292
22,1.265841,1.515184,1.770392,2.024418,2.278031,2.530255,2.778414,3.036421,3.288244,3.538969,3.811684,4.102387,4.382692,4.670528,4.947490,5.241915,5.526155,5.806235,6.090091,6.385624,6.668645,6.953367,7.235539,7.515137,7.956486,8.517200,9.241714,10.103983,11.098190,12.246100,13.536202,14.973639,16.561325,18.309788,20.177258,22.177074,24.362646,-1.271040,-1.649736,-2.154665,-2.663396,-3.165405,-3.679899,-4.246856,-4.824397,-5.388715,-5.966376,-6.528243,-7.108667,-7.812451,-8.677623,-9.676773,-10.829220,-12.100235,-13.553818,-15.124041,-16.857143,-18.739756,-20.761988,-22.907230,-25.240646
23,1.320620,1.581893,1.849339,2.111238,2.376970,2.642725,2.902124,3.165714,3.435319,3.704168,4.000904,4.305513,4.598477,4.895599,5.190211,5.495252,5.794570,6.083758,6.380647,6.676886,6.986270,7.281693,7.577922,7.870773,8.331774,8.916417,9.671290,10.557981,11.612951,12.809597,14.156022,15.655329,17.311502,19.131565,21.073610,23.191435,25.459703,-1.327028,-1.720818,-2.249139,-2.781185,-3.307145,-3.862839,-4.457880,-5.057378,-5.647646,-6.249628,-6.839182,-7.445169,-8.180265,-9.085274,-10.128492,-11.331567,-12.661707,-14.174365,-15.812096,-17.621122,-19.580435,-21.683643,-23.947807,-26.371523
24,1.379783,1.648370,1.927991,2.202771,2.478176,2.755422,3.028033,3.300864,3.574126,3.882265,4.189228,4.499802,4.808319,5.116656,5.432333,5.741326,6.061460,6.365639,6.673686,6.987252,7.294353,7.613689,7.923924,8.227923,8.693336,9.318254,10.089810,11.030482,12.131592,13.380970,14.784621,16.348063,18.076090,19.966970,21.990118,24.186646,26.577579,-1.383743,-1.797251,-2.345382,-2.895865,-3.448254,-4.049592,-4.668128,-5.296019,-5.909620,-6.527650,-7.151939,-7.771537,-8.551099,-9.479995,-10.565937,-11.820041,-13.225788,-14.782084,-16.510496,-18.398121,-20.438854,-22.620337,-24.970306,-27.485224
25,1.432567,1.715293,2.003608,2.293484,2.579444,2.865430,3.150820,3.436828,3.731181,4.051216,4.382009,4.703401,5.023436,5.344722,5.672004,5.995631,6.318072,6.645459,6.968547,7.291270,7.611088,7.933124,8.268455,8.585240,9.072230,9.721652,10.524983,11.503145,12.650772,13.950384,15.413254,17.040613,18.838842,20.806652,22.913446,25.195179,27.673418,-1.440955,-1.868630,-2.440534,-3.015137,-3.588252,-4.226655,-4.877584,-5.522987,-6.170928,-6.814154,-7.463951,-8.110475,-8.922957,-9.889950,-11.019859,-12.325330,-13.790046,-15.410548,-17.211403,-19.173409,-21.295679,-23.571327,-26.011520,-28.656830
26,1.489931,1.781217,2.083210,2.377418,2.678295,2.974319,3.271024,3.570116,3.895260,4.228996,4.565781,4.906086,5.238061,5.574513,5.914014,6.251397,6.583743,6.914476,7.249163,7.595074,7.930154,8.264568,8.599195,8.927895,9.448736,10.108790,10.958841,11.977341,13.149327,14.498923,16.017879,17.731436,19.603447,21.613159,23.836964,26.209452,28.744396,-1.495162,-1.943385,-2.533047,-3.132369,-3.738991,-4.411679,-5.089543,-5.758818,-6.422911,-7.101199,-7.766650,-8.446604,-9.280771,-10.298021,-11.473646,-12.831431,-14.353598,-16.038139,-17.908867,-19.950766,-22.124388,-24.519299,-27.058117,-29.762289
27,1.542687,1.846370,2.161245,2.469115,2.778359,3.090628,3.392295,3.705968,4.059138,4.405845,4.754098,5.107398,5.452641,5.800900,6.145871,6.502281,6.852024,7.194424,7.542410,7.889035,8.248583,8.594318,8.944141,9.284602,9.821823,10.509568,11.390094,12.430715,13.666961,15.067484,16.643711,18.396793,20.336893,22.452269,24.755310,27.221518,29.854307,-1.550353,-2.013383,-2.628415,-3.249524,-3.898366,-4.595928,-5.289855,-5.993190,-6.684566,-7.387856,-8.076965,-8.783848,-9.648706,-10.705858,-11.926684,-13.317096,-14.895393,-16.665222,-18.581707,-20.697060,-22.981001,-25.468021,-28.104017,-30.911180
28,1.601027,1.914620,2.233982,2.556865,2.878042,3.196747,3.516571,3.856914,4.216673,4.583464,4.945612,5.303491,5.660454,6.022336,6.388113,6.745754,7.108682,7.471773,7.831143,8.194324,8.555264,8.924343,9.284545,9.639854,10.182792,10.909392,11.807850,12.901896,14.182660,15.634143,17.266552,19.086090,21.096088,23.288254,25.641062,28.194216,30.958336,-1.607616,-2.086664,-2.724334,-3.363821,-4.059149,-4.778896,-5.500521,-6.229060,-6.944279,-7.663870,-8.389632,-9.110339,-10.017348,-11.098852,-12.362081,-13.821008,-15.456010,-17.266817,-19.277878,-21.468544,-23.836344,-26.377985,-29.147568,-32.056591
29,1.654208,1.982467,2.313605,2.648053,2.975532,3.307043,3.633718,4.008516,4.381483,4.753549,5.131750,5.506423,5.876273,6.249776,6.627206,6.999860,7.373403,7.741566,8.122460,8.499507,8.870688,9.243370,9.614805,9.993069,10.558610,11.309393,12.239576,13.371333,14.678404,16.200426,17.891800,19.776911,21.851774,24.121912,26.557892,29.203234,32.062771,-1.664093,-2.158015,-2.821771,-3.480091,-4.214690,-4.956508,-5.708782,-6.454026,-7.203156,-7.949979,-8.701092,-9.446232,-10.385423,-11.505212,-12.812897,-14.322668,-16.015587,-17.893684,-19.974604,-22.237432,-24.689056,-27.323681,-30.149853,-33.199833
30,1.707210,2.050266,2.392229,2.732890,3.078157,3.419078,3.766654,4.159639,4.543260,4.931821,5.316760,5.708519,6.088226,6.478883,6.859043,7.252090,7.638706,8.020116,8.404284,8.801384,9.186193,9.572676,9.957158,10.337225,10.931611,11.693027,12.670001,13.841181,15.193729,16.745699,18.492340,20.460842,22.604996,24.926294,27.475235,30.208317,33.124336,-1.718315,-2.231170,-2.912408,-3.597585,-4.368043,-5.140922,-5.910628,-6.688646,-7.454489,-8.234304,-9.000838,-9.781772,-10.740130,-11.910959,-13.262795,-14.824356,-16.557034,-18.517824,-20.665724,-23.009689,-25.511114,-28.266298,-31.186802,-34.342072
