2,Supercars Chevrolet Camaro Gen3,adelaide
Steering Wheel Angle,Yaw Rate
1.016323,0.005219
0.000000,0.001397
-0.988760,0.004953
-1.977626,0.009973
-2.993896,0.015200
-3.982709,0.020068
-4.998979,0.025256
-5.987792,0.030289
-6.976604,0.035276
-7.992875,0.040492
-8.981688,0.045450
-9.997957,0.050622
-10.986771,0.055563
-11.975583,0.060588
-12.991853,0.065752
-13.980665,0.070761
-14.996989,0.075905
-15.985749,0.080940
-16.974613,0.085864
-17.990831,0.090994
-18.979698,0.096096
-19.995966,0.101210
-20.984779,0.106193
-21.973593,0.111180
-22.989862,0.116377
-23.978676,0.121363
-24.994999,0.126507
-25.983759,0.131392
-27.000082,0.136506
-27.988842,0.141606
-28.977654,0.146578
-29.993923,0.151679
-30.982737,0.156619
-31.999060,0.161742
-32.987873,0.166754
-33.976685,0.171729
-34.992954,0.176881
-35.981770,0.181914
-36.998093,0.186963
-37.986855,0.192084
-38.975719,0.197006
-39.991932,0.202044
-40.980801,0.207033
-41.997017,0.212172
-42.985882,0.217172
-43.974697,0.222208
-44.990967,0.227309
-45.979778,0.232273
-46.996048,0.237421
-47.984913,0.242341
-48.973728,0.247365
-49.989998,0.252476
-50.978813,0.257435
-51.995083,0.262566
-52.983894,0.267524
-54.000217,0.272616
-54.989029,0.277577
-55.977844,0.282551
-56.994110,0.287721
-57.982929,0.292671
-58.999199,0.297790
-59.988010,0.302743
-60.976871,0.307681
-61.993145,0.312758
-62.981956,0.317783
-63.998226,0.322829
-64.987038,0.327853
-65.975906,0.332806
-66.992180,0.337928
-67.980995,0.342814
-68.997253,0.348007
-69.986069,0.352953
-70.974884,0.357880
-71.991211,0.363030
-72.980019,0.368002
-73.996292,0.373080
-74.985161,0.378026
-75.973915,0.382944
-76.990234,0.387991
-77.979050,0.392999
-78.995323,0.398077
-79.984192,0.403079
-81.000404,0.408169
-81.989273,0.413183
-82.978142,0.418082
-83.994354,0.423218
-84.983215,0.428138
-85.999489,0.433249
-86.988304,0.438193
-87.977112,0.443136
-88.993439,0.448227
-89.982254,0.453210
-90.998520,0.458299
-91.987381,0.463291
-92.976151,0.468149
-93.992470,0.473265
-94.981339,0.478257
-95.997551,0.483336
-96.986420,0.488291
-97.975182,0.493245
-98.991501,0.498323
-99.980316,0.503343
-100.996635,0.508378
-101.985451,0.513305
-103.001717,0.518337
-103.990585,0.523414
-104.979347,0.528290
-105.995674,0.533416
-106.984535,0.538394
-108.000801,0.543444
-108.989616,0.548419
-109.978432,0.553356
-110.994759,0.558488
-111.983620,0.563376
-112.999840,0.568532
-113.988701,0.573408
-114.977516,0.578391
-115.993790,0.583439
-116.982597,0.588365
-117.998917,0.593450
-118.987793,0.598381
-119.976540,0.603370
-120.992874,0.608413
-121.981682,0.613398
-122.998009,0.618486
-123.986816,0.623401
-124.975624,0.628421
-125.991959,0.633517
-126.980713,0.638388
-127.997040,0.643502
-128.985855,0.648460
-130.002182,0.653492
-130.991043,0.658541
-131.979797,0.663458
-132.996124,0.668476
-133.984924,0.673530
-135.001266,0.678584
-135.990128,0.683478
-136.978897,0.694791
-137.995209,0.705142
-138.984009,0.711028
-140.000351,0.716786
-140.989212,0.722683
-141.977966,0.728984
-142.994293,0.734652
-143.983093,0.740763
-144.999435,0.746683
-145.988190,0.753004
-146.977051,0.758448
-147.993378,0.765143
-148.982193,0.770936
-149.998520,0.776859
-150.987274,0.782872
-151.976135,0.788814
-152.992462,0.794910
-153.981277,0.801203
-154.997604,0.807249
-155.986404,0.813420
-157.002731,0.819414
-157.991592,0.825644
-158.980362,0.831879
-159.996674,0.837975
-160.985504,0.844399
-162.001816,0.850538
-162.990631,0.857683
-163.979446,0.863109
-164.995819,0.869300
-165.984589,0.876869
-167.000900,0.881713
-167.989716,0.888381
-168.978577,0.895729
-169.994904,0.900800
-170.983719,0.908239
-172.000046,0.914559
-172.988800,0.920306
-173.977661,0.927068
-174.993927,0.933218
-175.982803,0.940213
-176.999130,0.946238
-177.987946,0.951897
-178.976807,0.959314
-179.993011,0.965319
-180.981888,0.971394
-181.998260,0.978513
-182.987030,0.984309
-184.003342,0.991080
-184.992157,0.996925
-185.981033,1.003429
-186.997345,1.010011
-187.986160,1.016918
-189.002487,1.022780
-189.991287,1.029787
-190.980164,1.036457
-191.996368,1.042085
-192.985306,1.049920
-194.001617,1.055526
-194.990387,1.062774
-195.979248,1.068869
-196.995514,1.075662
-197.984390,1.081638
-199.000702,1.088838
-199.989532,1.094587
-200.978394,1.101439
-201.994644,1.107935
-202.983521,1.114496
-203.999786,1.120759
-204.988647,1.127445
-206.004990,1.133594
-206.993790,1.140366
-207.982666,1.146750
-208.998932,1.153497
-209.987793,1.159414
-211.004120,1.166660
-211.992920,1.172539
-212.981796,1.179445
-213.998062,1.185628
-214.986923,1.192278
-216.003265,1.199053
-216.992065,1.205166
-217.980942,1.212057
-218.997208,1.218603
-219.986069,1.225103
-221.002350,1.231810
-221.991211,1.238002
-222.980072,1.244640
-223.996338,1.251010
-224.985199,1.257967
-226.001480,1.264567
-226.990341,1.271213
-227.979218,1.277225
-228.995483,1.284429
